,parent_asin,title,price,average_rating,metadata
0,B013SK1JTY,ARAREE Slim Diary Cell Phone Case for Samsung Galaxy Note 5 - Retail Packaging - Coral Pink,-1.0,3.8,"araree cell phones & accessories cases, holsters & sleeves basic cases araree slim diary cell phone case for samsung galaxy note 5 - retail packaging - coral pink genuine cow leather with 6 different colors 3 pockets for id, cards and receipts the inside skin is made of microsuede, polycarbonate it doesn't have magnets the inner pc case color is gold made in korea just look, you can tell the difference. make everyday more convenient, it is slim but has big rooms. if you are looking for a rich and luxurious appearance, look no further. these double shoulders are the perfect leather for creating attractive finished belts, straps and wallets. it doesn't only show the perfect weight for accessories where rugged durability is needed but also has a natural finish and coarse grain."
1,B07ZPSG8P5,"Bastmei for OnePlus 7T Case Extremely Light Ultra Thin, Super Slim Hard PC Cover Case for OnePlus 7T (Gravel Green)",11.98,4.4,"bastmei cell phones & accessories cases, holsters & sleeves basic cases bastmei for oneplus 7t case extremely light ultra thin, super slim hard pc cover case for oneplus 7t (gravel green) ultra-thin & ultra-light: the ultra slim fit protective oneplus 7t case, you will feel nothing on your phone, but it did keep the protection of samsung and give you the excellent grip. perfect fit: this slim oneplus 7t case can fit for your oneplus 7t perfectly, easy to install and take off. excellent feel: when you touch the oneplus 7t case, you will feel comfortable.worth to have it. quality warranty: 180 days quality gurantee, if you get quality problems with this oneplus 7t case, please contact us in the first time. we will send you a new oneplus 7t case. not compatible with oneplus 7. "
2,B00GKR3L12,Wireless Fones Branded New Iphone 5C/LITE Hot Pink Lace detail Leather Wallet Folio Case,-1.0,4.0,wireless fones cell phones & accessories iphone accessories wireless fones branded new iphone 5c/lite hot pink lace detail leather wallet folio case  
3,B00PB8U8BW,"iPhone 6 Plus + Case, DandyCase Perfect PATTERNNo Chip/No Peel Flexible Slim TPU Case Cover for Apple iPhone 6 Plus (5.5"" Screen) [Vintage Pink Rose Floral]",-1.0,4.0,"dandycase cell phones & accessories iphone accessories iphone 6 plus + case, dandycase perfect patternno chip/no peel flexible slim tpu case cover for apple iphone 6 plus (5.5"" screen) [vintage pink rose floral] slim-fit design for the iphone 6 plus (5.5"" screen) prefect pattern cases do not chip, peel, break, or stretch out anti-slip properties gives your iphone 6 plus more grip on surfaces adds a ""lip"" to your iphone 6 plus so you can place it screen-down and not worry about scratches precision cutouts allow full access to charging and headphone connections witout removing the case case does not need to be removed for charging. camera opening allows unobstructed use of camera and flash. dandycase proudly presents the premium ""perfect pattern"" from the line of stylish cases that will make your friends jealous! stand out from the rest and show off your apple iphone 6 plus with these one of a kind cases. these cases are made of a durable, yet slightly flexible, tpu material that won't stretch or tear and the patterns wont chip, fade, or peel. dandycase perfect pattern cases come with a lifetime warranty against damage during normal use. each case comes in dandycase retail packaging. this is a universal hard case for the 5.5"" apple iphone 6 plus. it will not fit the iphone 6 or iphone 5s. dandycase perfect pattern cases are available in over 100 fun patterns! please note: this case was designed to be as slim as possible while still providing protection against scrapes, scratches, and small drops. if you plan on leaving it in a mud puddle, running over it with your work truck, or kicking it down the street, we suggest searching for the other big name ""armor"" box cases (although they don't have the fun patterns that we do!)."
4,B07D3RHSRV,"Case for Galaxy S6/S6 Edge, Thin Translucent View Mirror Flip Electroplate Stand Case (Black, Galaxy S6)",-1.0,4.0,"7pite cell phones & accessories cases, holsters & sleeves flip cases case for galaxy s6/s6 edge, thin translucent view mirror flip electroplate stand case (black, galaxy s6)  "
5,B00JIFK1HA,Rikki Knight 3D Chevron Peach on White with Anchor Flip Wallet iPhoneCase with Magnetic Flap for Apple iPhone 5c,22.42,1.0,"rikki knight cell phones & accessories iphone accessories rikki knight 3d chevron peach on white with anchor flip wallet iphonecase with magnetic flap for apple iphone 5c includes attached ribbon wristlet strap. black wallet case made of quality pu leather material and printed front on fabric surface protect your mobile phone from scratch, dirt, impact and shock the rikki knight new flip wallet iphone case for iphone 5c protects your cell phone from scratches dirt, and impact whilst also providing easy access to all features of your phone. this case also protects your privacy by with the flip cover on your screen to prevent those around you from reading your on screen messages. inside of the case features a side slot where you can store business cards, credit cards, cash, etc. universal: verizon - sprint - at&t - unisex, the rikki knight flip wallet case is the perfect accessory to protect your iphone in style. each rikki knight image design is part of a larger collection that can be purchased as a matching accessory to this phone case - such as wristlets, compact mirrors, messenger bags, laptop bags, pencil cases, pen holder, ipod cases, ipad nook and kindle cases, mugs, mouse pads, key chains, and many more. disclaimer: all images are printed directly into the material - the texture of the image will always be a flat surface. any images that appears to be 3d, textured, or glittery are flat printed images and are proudly printed in the usa."
6,B0BHY2CR5B,"iMangoo Galaxy S22 Case, for Samsung Galaxy S22 Cases Wallet Case Men Women Protective ID Credit Card Slot Holder Cash Pocket PU Leather Sleeve Double Magnetic Closure Clasp Galaxy S22 Flip Case Blue",11.99,4.5,"imangoo cell phones & accessories cases, holsters & sleeves flip cases imangoo galaxy s22 case, for samsung galaxy s22 cases wallet case men women protective id credit card slot holder cash pocket pu leather sleeve double magnetic closure clasp galaxy s22 flip case blue compatibility: this galaxy s22 case is only compatible with samsung galaxy s22 2022 released(6.1 inch display); please check your phone model before purchasing; not compatible with other phone models portable wallet case design: galaxy s22 case wallet has 3 card slots could hold your id, credit card, driver’s licence or cashes without taking your wallet when going out, ideal for daily, workdays and travelling magnetic closure flip cover design: the s22 folio flip protective case cover and magnetic clasp make it easy to open and use the cover at any time, and the magnetic clasp also secures your cards and money slim fit premium faux leather: galaxy s22 5g shockproof case is made of high quality faux leather, which is durable and resistant to scratches and fingerprints; soft tpu shell inner could protect your phone and easy to install; the slim and light design does not make your phone bulky precise cut-outs: responsive buttons and precise cut-outs allow easy access to speakers, charging ports, audio ports and buttons without removing this galaxy s22 case with card holder "
7,B0071OC36W,Piel Frama Wallet Case for Samsung Galaxy Nexus - Blue,-1.0,5.0,"piel frama cell phones & accessories cases, holsters & sleeves flip cases piel frama wallet case for samsung galaxy nexus - blue sync through travel cable removable belt clip polypropylene inner structure handcrafted in spain by leather artisans, piel frama phone cases are renowned worldwide for their exquisite quality and workmanship. piel frama uses only the finest locally-sourced materials, eco-friendly manufacturing techniques and careful attention to detail. the result is a soft, supple leather product that is extremely durable, ergonomic and that has a minimal impact on the environment. a superior leather goods manufacturer since 1945, piel frame made their first mobile phone case in 1984, the same year modern cell phones were introduced. the pioneering case maker uses natural and biodegradable products to tan and finish the full-grain leather materials, as well as in its glues. every case is carefully cut, assembled and sewn by hand. if you desire the look and feel of luxury in handmade spanish leather, a piel frame case is the ultimate product for you. more than just lasting protection for your technology investment, these cases are truly a work of art."
8,B00LO02H56,Pearl Bowknot 3d Cute Crystal Bling rhinestone pink Pearl Bowknot Bow Girl Cute lovely Handbag Leather Wallet Card Strap Case Cover For LG Optimus L70 Exceed 2 D325 MS323,-1.0,3.8,wilsontse  pearl bowknot 3d cute crystal bling rhinestone pink pearl bowknot bow girl cute lovely handbag leather wallet card strap case cover for lg optimus l70 exceed 2 d325 ms323  
9,B07W5Z9VHY,Omio for Galaxy Note 10 Plus Privacy Screen Protector Tempered Glass Black Screen Protectors 9H Hardness Anti-Scratch Anti-Spy Anti-Fingerprint Bubble-Free Full Coverage Film for Galaxy Note 10 Plus,-1.0,3.0,omio  omio for galaxy note 10 plus privacy screen protector tempered glass black screen protectors 9h hardness anti-scratch anti-spy anti-fingerprint bubble-free full coverage film for galaxy note 10 plus  
